id,name,description,xrefs
 CARO:0000013,cell,An anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.,0000000|GO:0005623
0000000,cell,A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.,CALOHA:TS-2035|FBbt:00007002|FMA:68646|GO:0005623|KUPO:0000002|MESH:D002477|VHOG:0001533|WBbt:0004017|XAO:0003012
0000001,primary cultured cell,"A cultured cell that is freshly isolated from a organismal source, or derives in culture from such a cell prior to the culture being passaged.",BTO:0002290
0000003,native cell,"A cell that is found in a natural setting, which includes multicellular organism cells 'in vivo' (i.e. part of an organism), and unicellular organisms 'in environment' (i.e. part of a natural environment).",CARO:0000013
0000005,fibroblast neural crest derived,Any fibroblast that is deriived from the neural crest.,
0000007,early embryonic cell (metazoa),A cell found in the embryo before the formation of all the gem layers is complete.,
0000008,migratory cranial neural crest cell,Cell that is part of the migratory cranial neural crest population. Migratory cranial neural crest cells develop from premigratory cranial neural crest cells and have undergone epithelial to mesenchymal transition and delamination.,
0000010,cultured cell,A cell in vitro that is or has been maintained or propagated as part of a cell culture.,MESH:D002478
0000011,migratory trunk neural crest cell,Cell that is part of the migratory trunk neural crest population. Migratory trunk neural crest cells develop from premigratory trunk neural crest cells and have undergone epithelial to mesenchymal transition and delamination.,
0000015,male germ cell,"A germ cell that supports male gamete production. In some species, non-germ cells known as Sertoli cells also play a role in spermatogenesis.",FMA:72290|MA:0002765|VHOG:0001531|ncithesaurus:Spermatogenic_Cell
0000017,spermatocyte,A male germ cell that develops from spermatogonia. The euploid primary spermatocytes undergo meiosis and give rise to the haploid secondary spermatocytes which in turn give rise to spermatids.,BTO:0001275|CALOHA:TS-0951|EMAPA:31484|FBbt:00004936|FMA:84049|WBbt:0006799
0000018,spermatid,"A male germ cell that develops from the haploid secondary spermatocytes. Without further division, spermatids undergo structural changes and give rise to spermatozoa.",BTO:0001274|CALOHA:TS-0950|EMAPA:31486|FBbt:00004942|FMA:72294|WBbt:0006800
0000019,sperm,A mature male germ cell that develops from a spermatid.,BTO:0001277|BTO:0002046|CALOHA:TS-0949|FBbt:00004954|FMA:67338|WBbt:0006798
0000020,spermatogonium,An euploid male germ cell of an early stage of spermatogenesis.,BTO:0000958|CALOHA:TS-2193|EMAPA:31482|FBbt:00004934|FBbt:00004935|FMA:72291
0000021,female germ cell,Female germ cell is a germ cell that supports female gamete production.,MA:0000388|VHOG:0001530|ncithesaurus:Egg
0000023,oocyte,A female germ cell that has entered meiosis.,BTO:0000964|CALOHA:TS-0711|FBbt:00004886|FMA:18644|MESH:D009865|WBbt:0006797
0000024,oogonial cell,An undifferentiated germ cell that proliferates rapidly and gives rise to oocytes.,FMA:83673
0000025,egg cell,A female gamete where meiosis has progressed to metaphase II and is able to participate in fertilization.,BTO:0000369|BTO:0003801|CALOHA:TS-2191|FBbt:00057012|FMA:67343|MA:0000388|MESH:D010063
0000026,invertebrate nurse cell,A germline cell that contributes to the development of the oocyte by transferring cytoplasm directly to oocyte.,BTO:0000953|FBbt:00004878
0000027,smooth muscle cell neural crest derived,A smooth muscle cell derived from the neural crest.,
0000031,neuroblast (sensu Vertebrata),A cell that will develop into a neuron often after a migration phase.,BTO:0000930|FMA:70563
0000032,neuroplacodal cell,"A cell of a platelike structure, especially a thickened plate of ectoderm in the early embryo, from which a sense organ develops.",
0000033,apocrine cell,An apocrine cell is a secretory cell characterized loss of part of the cytoplasm during the process of secretion - secretions are budded off through the plasma membrane producing membrane bound vesicles containing the secreted substance.,
0000034,stem cell,A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells.,CALOHA:TS-2086|FMA:63368
0000035,single fate stem cell,A stem cell that self-renews as well as give rise to a single mature cell type.,FMA:70569
