id,name,description,xrefs,parents
 CL_0000000,cell,A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.,CALOHA:TS-2035|FBbt:00007002|FMA:68646|GO:0005623|KUPO:0000002|MESH:D002477|VHOG:0001533|WBbt:0004017|XAO:0003012,RO:0002160 some NCBITaxon:131567
CL_0000001,primary cultured cell,"A cultured cell that is freshly isolated from a organismal source, or derives in culture from such a cell prior to the culture being passaged.",BTO:0002290,CL:0000010
CL_0000003,native cell,"A cell that is found in a natural setting, which includes multicellular organism cells 'in vivo' (i.e. part of an organism), and unicellular organisms 'in environment' (i.e. part of a natural environment).",CARO:0000013,CL:0000000
CL_0000005,fibroblast neural crest derived,Any fibroblast that is deriived from the neural crest.,,CL:0000057|RO:0002202 some CL:0000008
CL_0000006,neuronal receptor cell,,,CL:0000101|CL:0000197
CL_0000007,early embryonic cell (metazoa),A cell found in the embryo before the formation of all the gem layers is complete.,,CL:0002321
CL_0000008,migratory cranial neural crest cell,Cell that is part of the migratory cranial neural crest population. Migratory cranial neural crest cells develop from premigratory cranial neural crest cells and have undergone epithelial to mesenchymal transition and delamination.,,CL:0000333
CL_0000010,cultured cell,A cell in vitro that is or has been maintained or propagated as part of a cell culture.,MESH:D002478,CL:0000578
CL_0000011,migratory trunk neural crest cell,Cell that is part of the migratory trunk neural crest population. Migratory trunk neural crest cells develop from premigratory trunk neural crest cells and have undergone epithelial to mesenchymal transition and delamination.,,CL:0000333
CL_0000014,germ line stem cell,,,CL:0000034|CL:0000039
CL_0000015,male germ cell,"A germ cell that supports male gamete production. In some species, non-germ cells known as Sertoli cells also play a role in spermatogenesis.",FMA:72290|MA:0002765|VHOG:0001531|ncithesaurus:Spermatogenic_Cell,CL:0000586|RO:0002216 some GO:0007283
CL_0000016,male germ line stem cell,,,CL:0000014|CL:0000015
CL_0000017,spermatocyte,A male germ cell that develops from spermatogonia. The euploid primary spermatocytes undergo meiosis and give rise to the haploid secondary spermatocytes which in turn give rise to spermatids.,BTO:0001275|CALOHA:TS-0951|EMAPA:31484|FBbt:00004936|FMA:84049|WBbt:0006799,CARO:0000000|CL:0000015|RO:0002202 some CL:0000020|RO:0002215 some GO:0048137
CL_0000018,spermatid,"A male germ cell that develops from the haploid secondary spermatocytes. Without further division, spermatids undergo structural changes and give rise to spermatozoa.",BTO:0001274|CALOHA:TS-0950|EMAPA:31486|FBbt:00004942|FMA:72294|WBbt:0006800,CARO:0000000|CL:0000015|CL:0000413|RO:0002202 some CL:0000657|RO:0002215 some GO:0001675|RO:0002215 some GO:0007288|RO:0002215 some GO:0007289
CL_0000019,sperm,A mature male germ cell that develops from a spermatid.,BTO:0001277|BTO:0002046|CALOHA:TS-0949|FBbt:00004954|FMA:67338|WBbt:0006798,CARO:0000000|CL:0000408|RO:0002202 some CL:0000018
CL_0000020,spermatogonium,An euploid male germ cell of an early stage of spermatogenesis.,BTO:0000958|CALOHA:TS-2193|EMAPA:31482|FBbt:00004934|FBbt:00004935|FMA:72291,CL:0000015|RO:0000053 some PATO:0001394|RO:0000053 some PATO:0001501
CL_0000021,female germ cell,Female germ cell is a germ cell that supports female gamete production.,MA:0000388|VHOG:0001530|ncithesaurus:Egg,CL:0000586|RO:0002215 some GO:0048477
CL_0000022,female germ line stem cell,,FBbt:00004873,CL:0000014|CL:0000021
CL_0000023,oocyte,A female germ cell that has entered meiosis.,BTO:0000964|CALOHA:TS-0711|FBbt:00004886|FMA:18644|MESH:D009865|WBbt:0006797,CL:0000021|CL:0000548|RO:0000056 some GO:0007143
CL_0000024,oogonial cell,An undifferentiated germ cell that proliferates rapidly and gives rise to oocytes.,FMA:83673,CARO:0000000|CL:0000021|RO:0002202 some CL:0000670|RO:0002215 some GO:0000278
CL_0000025,egg cell,A female gamete where meiosis has progressed to metaphase II and is able to participate in fertilization.,BTO:0000369|BTO:0003801|CALOHA:TS-2191|FBbt:00057012|FMA:67343|MA:0000388|MESH:D010063,CARO:0000000|CL:0000675|RO:0000056 some GO:0007143|RO:0002202 some CL:0000023
CL_0000026,invertebrate nurse cell,A germline cell that contributes to the development of the oocyte by transferring cytoplasm directly to oocyte.,BTO:0000953|FBbt:00004878,CARO:0000000|CL:0000412|CL:4029002|RO:0002202 some CL:0000722
CL_0000027,smooth muscle cell neural crest derived,A smooth muscle cell derived from the neural crest.,,CL:0000192|RO:0002202 some CL:0000008
CL_0000028,CNS neuron (sensu Nematoda and Protostomia),,,BFO:0000050 some UBERON:0001017|CARO:0000000|CL:0000540|RO:0002202 some CL:0000338
CL_0000029,neural crest derived neuron,,,CARO:0000000|CL:0000540|RO:0002202 some CL:0002676
CL_0000030,glioblast,,,CARO:0000000|CL:0000055|RO:0002202 some CL:0000133
CL_0000031,neuroblast (sensu Vertebrata),A cell that will develop into a neuron often after a migration phase.,BTO:0000930|FMA:70563,CL:0000055|CL:0000548|RO:0002160 some NCBITaxon:7742
CL_0000032,neuroplacodal cell,"A cell of a platelike structure, especially a thickened plate of ectoderm in the early embryo, from which a sense organ develops.",,CARO:0000000|CL:0002321|RO:0002202 some CL:0000114
CL_0000033,apocrine cell,An apocrine cell is a secretory cell characterized loss of part of the cytoplasm during the process of secretion - secretions are budded off through the plasma membrane producing membrane bound vesicles containing the secreted substance.,,CL:0000151
CL_0000034,stem cell,A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells.,CALOHA:TS-2086|FMA:63368,CL:0000548|CL:0011115|RO:0002162 some NCBITaxon:33208|RO:0002215 some GO:0017145
CL_0000035,single fate stem cell,A stem cell that self-renews as well as give rise to a single mature cell type.,FMA:70569,CL:0000723|RO:0000053 some PATO:0001400
CL_0000036,epithelial fate stem cell,,,CL:0000035
