id,name,description,xrefs
CL_0000193,cardiac muscle cell (sensu Arthopoda),A striated muscle cell of an arthropod heart that participates in heart contraction.,
CL_0000226,single nucleate cell,A cell with a single nucleus.,
CL_0000318,sweat secreting cell,"A cell secreting sweat, the fluid excreted by the sweat glands of mammals. It consists of water containing sodium chloride, phosphate, urea, ammonia, and other waste products.",
CL_0000325,stuff accumulating cell,A cell that is specialised to accumulate a particular substance(s).,
CL_0000335,mesenchyme condensation cell,A mesenchymal cell in embryonic development found in a contracting mass and that gives rise to osteoprogenitors.,
CL_0000342,pigment cell (sensu Vertebrata),Any animal cell containing pigment granules.,
CL_0000345,dental papilla cell,A mesenchymal cell that is part of a small mass of condensed mesenchyme in the enamel organ; it differentiates into the dentin and dental pulp.,
CL_0000347,scleral cell,A cell of the sclera of the eye.,
CL_0000358,sphincter associated smooth muscle cell,A smooth muscle cell that is part of a sphincter. A sphincter is a typically circular muscle that normally maintains constriction of a natural body passage or orifice and which relaxes as required by normal physiological functioning.,
CL_0000361,gastrula cell,"A cell of the embryo in the early stage following the blastula, characterized by morphogenetic cell movements, cell differentiation, and the formation of the three germ layers.",
CL_0000374,trichogen cell,"An epidermal cell that is part of a cell cluster organ of the insect integument (such as a sensillum) and that secretes a cuticular specialization, often in the form of a hair, bristle, peg or scale. The base of this specialization is often surrounded by a socket produced by a closely associated tormogen cell.",BTO:0004744|FBbt:00005169
CL_0000380,thecogen cell,The support cell that makes the thecogen dendritic cap - a cuticle-like matrix around the tip of the eo-dendrite and which encloses the soma of the eo-neuron.,
CL_0000391,podocyte (sensu Diptera),An insect immune cell that develops from plasmatocyte.,
CL_0000404,electrically signaling cell,A cell that initiates an electrical signal and passes that signal to another cell.,
CL_0000411,Caenorhabditis hypodermal cell,An epithelial cell of the hypodermis of Caenorhabditis.,WBbt:0007846
CL_0000412,polyploid cell,"A cell whose nucleus, or nuclei, each contain more than two haploid genomes.",
CL_0000419,seam cell,An epithelial fate stem cell found in flatworms.,BTO:0003039
CL_0000422,mitogenic signaling cell,A cell whose primary function is to cause growth by stimulating cell division in its immediate cellular environment.,
CL_0000424,excretory cell,"A cell involved in the elimination of metabolic and foreign toxins, and in maintaining the ionic, acid-base and water balance of biological fluids.",WBbt:0005812
CL_0000425,pore cell,Forms the terminal part of the cuticle-lined excretory duct of C. elegans.,
CL_0000434,eccrine cell,A secretory cell that discharges its product without loss of cytoplasm.,
CL_0000438,luteinizing hormone secreting cell,A peptide hormone secreting cell pituitary that produces luteinizing hormone.,
CL_0000444,obliquely striated muscle cell,"A muscle cell in which the fibers are organised into sarcomeres but in which adjacent myofibrils are offset from each other, producing an oblique banding pattern.",
CL_0000454,epinephrine secreting cell,"A cell capable of producing epinephrine. Epiniphrine is synthesized from norepiniphrine by the actions of the phenylethanolamine N-methyltransferase enzyme, which is expressed in the adrenal glands, androgenic neurons, and in other cell types.",
CL_0000463,epidermal cell (sensu Arthropoda),An epidermal cell that secretes chitinous cuticle from its apical side.,
CL_0000464,epidermoblast,An epidermal progenitor cell that arises from neuroectoderm and in turn gives rise to the epidermal sheath of ventral and cephalic regions.,FBbt:00004994
CL_0000467,adrenocorticotropic hormone secreting cell,"A peptide hormone secreting cell that produces adrenocorticotropin, or corticotropin.",
CL_0000473,defensive cell,A cell whose primary function is to protect the organism.,
